"Facility Name","NPDES ID","City","State","CWNS","Amount of Biosolids Generated","Management Practice Type(s)","Amount of Biosolids Managed - Land Applied","Amount of Biosolids Managed - Surface Disposal","Amount of Biosolids Managed - Incinerated","Amount of Biosolids Managed - Other Management Practice","Pathogen Class(es)"
"CITY OF SUNRISE UTILITIES DEPARTMENT - SOUTHWEST WWTF ","FLL013580","DAVIE","FL","12000001053","67.36","Other Management Practice","","","","67.36","Class A EQ, Class A"
"CITY OF DYERSVILLE","IAL023345","DYERSVILLE","IA","19000251001","70.1","Land Application","70.1","","","","Class B"
"GREAT NECK WPC DISTRICT","NYL026999","GREAT NECK","NY","36001006001","351.61","Other Management Practice","","","","351.61","Not Applicable"
"ALDERWOOD STP","WAL020826","LYNNWOOD","WA","53000018001","674.19","Land Application","674.19","","","","Class A"
"LITTLETON/ENGLEWOOD CITIES OF","COL032999","ENGLEWOOD","CO","08000121001","3361","Land Application","3361","","","","Class B"
"CHESTER STP","ILL072931","CHESTER","IL","17007516001","772.84","Other Management Practice","","","","772.84","Class B"
"SALT LAKE CITY CORP-WAST WATER","UTL021725","SALT LAKE CITY","UT","49000055001","3492","Land Application","3492","","","","Class B"
"HARRIMAN UTILITY BOARD","TNL025437","HARRIMAN","TN","47000625001","167.7","Land Application","167.7","","","","Class B"
"CATOMA CREEK WWTP","ALL027863","MONTGOMERY","AL","01000110001","2073","Land Application","2073","","","","Class B"
"VINCENNES WWTP, CITY OF","INL031020","VINCENNES","IN","18002200001","538.0761","Land Application","538.0761","","","","Class B"
"BLUEFIELD STP","VAL025054","BLUEFIELD","VA","51000002001","2948.8","Other Management Practice","","","","2948.8","Class B"
"CITY OF ELDORA SEWER TREATMENT PLANT","IAL025933","ELDORA","IA","19000263001","27.09","Land Application","27.09","","","","Class B"
"LONG PRAIRIE MUNICIPAL WWTF","MNL066079","UNKNOWN","MN","27000194001","130.5","Land Application","130.5","","","","Class B"
"TAVARES/WOODLEA ROAD WWTF","FLL010509","TAVARES","FL","12000265001","210.013","Other Management Practice","","","","210.013","Class B"
"METROPOLITAN COUNCIL-EMPIRE","MNL045845","FARMINGTON","MN","27000001026","1019.29","Land Application","1019.29","","","","Class B"
"CITY OF KEARNEY","MOL107883","KEARNEY","MO","29001159001","715","Land Application","715","","","","Class B"
"RIVERTON, CITY OF","WYL020672","RIVERTON","WY","56000054001","376","Land Application","339","","","","Class A"
"WASCO WWTP","CAL010514","WASCO","CA","06005079001","198.15","Land Application","198.15","","","","Class B"
"NEWBURGH MUNICIPAL WWTP","INL023892","NEWBURGH","IN","18000880001","577.61","Other Management Practice","","","","540.84","Class B"
"POMPTON LAKES BORO MUA","NJL023698","POMPTON LAKES","NJ","34001089001","227.77","Land Application","227.77","","","","Class B"
"WAUCHULA CITY OF WWTF","FLL119890","WAUCHULA","FL","12000239001","42.9","Land Application","42.9","","","","Class B"
"CITY OF MEXICO","MOL036242","MEXICO","MO","29001016001","195","Land Application","195","","","","Class B"
"CAMARILLO WRP","CAL053597","CAMARILLO","CA","06004029001","591.68","Other Management Practice","","","","572.46","Class A"
"MUKILTEO WATER AND WASTEWATER DISTRICT WWTP","WAL023396","MUKILTEO","WA","53000921001","233.1","Land Application","233.1","","","","Class B"
"CITY OF HELENA","MTL022641","HELENA","MT","30000050001","428.19","Land Application, Other Management Practice","173.26","","","254.93","Class B"
"LEESBURG TOWN - WATER POLLUTION CONTROL DIVISION","VALL92282","LEESBURG","VA","51000327001","886.21","Land Application, Other Management Practice","745.76","","","140.45","Class A EQ, Not Applicable"
"ONTARIO (T)","NYL027171","ONTARIO","NY","36008093001","133","Other Management Practice","","","","133","Class A EQ"
"MARION W W T F","MAL100030","MARION","MA","25000175001","80.9","Other Management Practice","","","","80.9","Not Applicable"
"ATHENS UB-OOSTANAULA CREEK STP","TN0024201","ATHENS","TN","47000055001","651","Land Application","651","","","","Class A EQ"
"HILLSBOROUGH COUNTY PUBLIC UTILITIES DEPT.","FLL028061","TAMPA","FL","12000056007","2290","Other Management Practice","","","","2292","Not Applicable, Class A EQ, Class A"
"CITY OF BOWIE STP","MDL021628","BOWIE","MD","24000020001","472.32","Land Application","472.32","","","","Class B"
"SYCAMORE STP - NORTH PLANT","ILL031291","SYCAMORE","IL","17007307001","159.78","Land Application","162.55","","","","Class B"
"LCDPW-DES PLAINES RIVER STP","ILL022055","BUFFALO GROVE","IL","17000703001","1349.76","Land Application","1349.76","","","","Class B"
"CAVE SPRING, CITY OF (CAVE SPRING WPCP)","GAL025721","CAVE SPRING","GA","13000556001","5.78","Land Application","5.78","","","","Class B"
"SOUTH SANTA ROSA UTILITIES SYSTEM WWTF","FLL010212","GULF BREEZE","FL","12000048003","398.77","Land Application","398.77","","","","Class B"
"NORTHFIELD WWTF","VTL100242","NORTHFIELD","VT","50000047001","440","Other Management Practice","","","","440","Class B"
"MOON TOWNSHIP MUNICIPAL AUTHOR","PAL028801","CORAPOLIS","PA","42005242002","352.9","Surface Disposal","","352.9","","","Class A"
"N LITTLE ROCK, CITY OF-FAULKNE","ARL020303","NORTH LITTLE ROCK","AR","05000003002","890.71","Land Application","890.71","","","","Class B"
"LCDPW-NEW CENTURY TOWN STP","ILL022071","VERNON HILLS","IL","17000703003","1047.59","Land Application","1047.59","","","","Class B"
"TRACY WWTP","CAL079154","TRACY","CA","06005105001","2026","Land Application","2026","","","","Class B"
"LOGANSPORT WASTEWATER TREATMENT PLANT","INL023604","LOGANSPORT","IN","18002120001","1806.79","Other Management Practice","","","","1806.79","Class B"
"WESTERN WESTMORELAND STP","PAL027570","NORTH HUNTINGDON","PA","42005057001","331.46","Other Management Practice","","","","331.46","Not Applicable"
"CITY OF CHATSWORTH","GAL032492","CHATSWORTH","GA","13000563001","395","Other Management Practice","","","","395","Not Applicable"
"MOON TWP. MUN. AUTH.","PAL046906","CORAPOLIS","PA","42005242003","137.48","Surface Disposal","","137.48","","","Class A"
"LCDPW - MILL CREEK WRF","ILL071366","OLD MILL CREEK","IL","17000703002","367.21","Land Application","367.21","","","","Class B"
"JOCO DOUGLAS SMITH MIDDLE BASIN","KSL119601","OLATHE","KS","20000498007","1831.11","Land Application","1831.11","","","","Class B"
"MADISON (CITY OF) SOUTHSIDE WPCP","GAL023141","MADISON","GA","13000697002","66.2","Land Application","66.2","","","","Class B"
"HILLSBOROUGH COUNTY PUBLIC UTILITIES DEPARTMENT","FLL040614","TAMPA","FL","12000056009","3663","Other Management Practice","","","","3663","Class A EQ, Class A"
"CITY OF CEDARTOWN","GAL024074","CEDARTOWN","GA","13000558002","159.8","Land Application","159.8","","","","Class B"
"MALONE (V)","NYL030376","MALONE","NY","36005027001","97.61","Other Management Practice","","","","97.61","Not Applicable"
"HILLSBOROUGH COUNTY PUBLIC UTILITIES DEPARTMENT","FLL040983","TAMPA","FL","12000516001","2348","Other Management Practice","","","","2348","Not Applicable, Class A EQ, Class A"
"CITY OF HOLLYWOOD","FLL026255","HOLLYWOOD","FL","12000001011","10885.51","Land Application, Other Management Practice","9781.9","","","1103.61","Class A, Class B"
"CITY OF UNIONTOWN","PAL027219","UNIONTOWN,","PA","42005067001","610.3","Other Management Practice","","","","610.3","Not Applicable"
"LYNCHBURG STP","VAL024970","LYNCHBURG","VA","51000144001","8262","Land Application, Other Management Practice","2217","","","6045","Class B, Not Applicable"
"MOODY GOVERNMENTAL UTILITY SERVICES CORPORATION","ALL055255","MOODY","AL","01000312001","475","Surface Disposal","","475","","","Class B"
"VICKSBURG POTW","MSL022381","VICKSBURG","MS","28001390001","618.57","Land Application","618.57","","","","Class B"
"TRENTON MUNICIPAL UTILITIES","MOL039748","TRENTON","MO","29003744001","167","Other Management Practice","","","","167","Class B"
"GRANVILLE (V)","NYL021547","GRANVILLE","NY","36005054001","116.01","Other Management Practice","","","","116.01","Class B"
"MARSEILLES WWTP, CITY OF","ILL021059","MARSEILLES","IL","17009930001","32.48","Land Application","85.35","","","","Class B"
"READING CITY - FRITZ ISLAND WW","PAL026549","BERKS COUNTY","PA","42001069001","2399","Other Management Practice","","","","2399","Class B"
"LOWER POTOMAC POLL CONTROL PLT","VAL025364","LORTON","VA","51000322006","13186.4","Incineration","","","13186.4","",""
"CITY OF DAVENPORT","IAL043052","DAVENPORT","IA","19000208001","3796","Other Management Practice","","","","3796","Class A"
"BUCHANAN, CITY OF (BUCHANAN WPCP)","GAL021512","BUCHANAN","GA","13000081001","18.3","Land Application","18.3","","","","Class B"
"DERRY TOWNSHIP STP","PAL026484","HERSHEY","PA","42001114001","1017","Land Application, Other Management Practice","1013.3","","","3.7","Class B, Not Applicable"
"ROCHESTER","MNL024619","ROCHESTER","MN","27000043001","1678.6","Land Application","1678.6","","","","Class B"
"SACRAMENTO RWTP","CAL077682","SACRAMENTO","CA","06005009001","32731","Surface Disposal, Other Management Practice","","14473","","6645","Class B, Class A"
"CITY OF OZARK","MOL099163","OZARK","MO","29003548001","303.85","Land Application","297.17","","","","Class B"
"LYNDEN STP","WAL022578","LYNDEN","WA","53000710001","317","Land Application","374","","","","Class A, Class B"
"NEWTON, CITY OF","KSL038971","NEWTON","KS","20000513001","226.84","Land Application","226.84","","","","Class B"
"REHOBOTH BEACH STP","DEL020028","REHOBOTH BEACH","DE","10000019001","325.9","Land Application","54.96","","","","Class B"
"BARNWELL WWTF","SCL025143","BARNWELL","SC","45000177002","165","Other Management Practice","","","","87.11","Not Applicable"
"WATER POLLUTION CONTROL FACILITY","IAL058611","OTTUMWA","IA","19000655001","646.9","Land Application","779.5","","","","Class B"
"ROCKAWAY VALLEY REGIONAL SA","NJL022349","PARSIPPANY","NJ","34001093001","2326","Other Management Practice","","","","2326","Class A"
"WATERVILLE VALLEY W W T P","NHL100781","WATERVILLE VALLEY","NH","33000042001","177.32","Other Management Practice","","","","177.32","Not Applicable"
"DOUGLAS CO SEWER DIST 1 EAST WENATCHEE","WAL020621","EAST WENATCHEE","WA","53000350001","244.7","Land Application, Other Management Practice","156.4","","","88.3","Class B, Class A EQ"
"MANHEIM STP","PAL020893","LANCASTER COUNTY","PA","42001067001","1037.26","Land Application","1037.26","","","","Class B"
"LAUGHLIN WRF","NVL021563","LAUGHLIN","NV","32000201201","191.36","Other Management Practice","","","","191.36","Not Applicable"
"CITY OF VINTON","IAL035891","VINTON","IA","19000881001","70","Land Application","70.1","","","","Class B"
"ST. CHARLES PARISH COUNCIL","LAL073521","HAHNVILLE","LA","22003281001","672","Other Management Practice","","","","672","Class B"
"ROCKY MOUNT STP","VAL085952","ROCKY MOUNT","VA","51000053001","92.63","Other Management Practice","","","","92.63","Not Applicable"
"CITY OF OZARK","MOL133671","OZARK","MO","29003548002","50.86","Land Application","48.8","","","","Class B"
"ST CHARLES PAR COUNCIL-DEST","LAL073539","DESTREHAN","LA","22003276001","2203","Other Management Practice","","","","2203","Class B"
"HANOVER AREA REGIONAL WWTF","PAL026875","YORK COUNTY","PA","42003090001","532","Land Application","532","","","","Class B"
"CITY OF SIOUX CENTER","IAL033731","SIOUX CENTER","IA","19000797001","166.8","Land Application","166.8","","","","Class B"
"IOWA GREAT LAKES SANITARY DISTRICT","IAL059765","MILFORD","IA","19001083001","278.2","Land Application","278.2","","","","Class B"
"OTTAWA WWTP PLANT","KSL975535","OTTAWA","KS","20000732001","235.02","Land Application","235.02","","","","Class B"
"PALM SPRINGS WWTP","CAL000445","PALM SPRINGS","CA","06007003001","1207.71","Other Management Practice","","","","1207.71","Class B"
"LODI WHITE SLOUGH WPCF","CAL079243","LODI","CA","06005062001","533","Land Application","533","","","","Class B"
"ALBUQUERQUE BERNALILLO COUNTY WATER UTILITY AUTHORITY","NML022250","ALBUQUERQUE","NM","35000021002","11590","Land Application, Surface Disposal","3147","8443","","","Class A, Class B"
"PISMO BEACH WWTF","CAL048151","PISMO BEACH","CA","06003028001","252","Other Management Practice","","","","251","Class A"
"MANHATTAN STP, VILLAGE OF","ILL020222","MANHATTAN","IL","17000444001","111.77","Land Application","111.77","","","","Class B"
"LAS VEGAS WQCP","NVL020133","LAS VEGAS","NV","32000011001","12526.9","Other Management Practice","","","","12526.9","Not Applicable"
"TNSA SEWAGE TREATMENT PLT","NJL024872","NEPTUNE","NJ","34003314001","864.72","Other Management Practice","","","","864.72","Class B"
"LEE WWTP, TOWN OF","MA0100153","LEE","MA","25000163001","189","Other Management Practice","","","","189","Not Applicable"
"WINTER HAVEN WWTP #2","FLL021849","WINTER HAVEN","FL","12000156001","331.62759","Other Management Practice","","","","331.62759","Not Applicable"
"GREEN BAY METROPOLITAN SEWERAGE DISTRICT","WIL065251","GREEN BAY","WI","55009511001","10982","Incineration, Other Management Practice","","","10982","2164","Class B"
"DURHAM COUNTY","NCL026051","DURHAM","NC","37003202001","1871.27","Other Management Practice","","","","1871.27","Class A"
"EL DORADO, CITY OF","KSL097667","EL DORADO","KS","20001609001","247","Other Management Practice","","","","247","Class A"
"NORTHWEST BERGEN COUNTY UA","NJL024813","WALDWICK","NJ","34001077001","4025","Incineration","","","4025","",""
"PLATTE CO REGIONAL SEWER","MOL119474","TRACY","MO","29001148006","108.8","Surface Disposal","","108.8","","","Class B"
"ATLANTA (UTOY CREEK WRC)","GAL021458","ATLANTA","GA","13000012001","3007.9","Other Management Practice","","","","3007.9","Not Applicable"
"MARIANNA CITY OF WWTP","FLL101141","MARIANNA","FL","12000256001","292.35","Land Application","292.35","","","","Class B"
"CITY OF ELKINS, WWTP","WVL020028","ELKINS","WV","54004202001","91.9","Land Application","91.9","","","","Class B"
"GRAFTON W W T P","MAL101311","SO. GRAFTON","MA","25000049001","441.04","Other Management Practice","","","","441.04","Not Applicable"
"GREENPORT (T)","NYL030988","HUDSON","NY","36004007001","70.67","Other Management Practice","","","","70.67","Not Applicable"
"ROXBURY TOWNSHIP OF","NJL022675","SUCCASUNNA","NJ","34002391001","536.16","Other Management Practice","","","","536.16","Class A"
"ROCK HILL/MANCHESTER CREEK","SCL020443","ROCK HILL","SC","45000252001","4804.77","Other Management Practice","","","","4804.77","Not Applicable"
"THURMONT WASTEWATER TREAT.FAC.","MDL021121","THURMONT","MD","24000053001","125","Other Management Practice","","","","125","Class B"
"CITY OF ENTERPRISE","ALL020036","ENTERPRISE","AL","01000054002","67.03","Land Application","67.03","","","","Class B"
"UTILITIES BOARD OF THE CITY OF SYLACAUGA","ALL020001","SYLACAUGA","AL","01200100015","439.09","Land Application","439.09","","","","Class B"
"CALDWELL WASTEWATER TREATMENT","NJL020427","W CALDWELL","NJ","34001156001","796.07","Other Management Practice","","","","796.07","Class A"
"CITY OF OLDSMAR","FLL027651","OLDSMAR","FL","12000074001","380.63","Other Management Practice","","","","380.63","Class B"
"JAMESTOWN CITY OF","NDL023370","JAMESTOWN","ND","38000004001","811.54","Land Application","811.54","","","","Class B"
"ROMEOVILLE WASTEWATER TREATMENT FACILITY","ILL048526","ROMEOVILLE","IL","17000729001","863.78","Land Application","863.78","","","","Class B"
"CITY OF ENTERPRISE","ALL020061","ENTERPRISE","AL","01000054004","186.64","Land Application","186.64","","","","Class B"
"CITY OF TAMPA - DEPARTMENT OF SANITARY SEWERS","FLL020940","TAMPA","FL","12000053001","11785.62","Land Application","11785.62","","","","Class B"
"TOWN OF CARY","NCL065102","CARY","NC","37009203003","3470.09","Land Application","3470","","","","Class A EQ"
"NORTH KOOCHICHING AREA SAN DIS","MNL020257","INTERNATIONAL FALLS","MN","27001705001","52","Land Application","52","","","","Class B"
"CELANESE WWTP","MDL063878","CUMBERLAND","MD","24000030002","242.5","Other Management Practice","","","","242.5","Not Applicable"
"HOLLIDAYSBURG REGIONAL WWTP","PAL043273","BLAIR COUNTY","PA","42004065001","138","Other Management Practice","","","","214","Not Applicable"
"TOPPENISH, CITY OF","WAL026123","TOPPENISH","WA","53001310001","217.6","Other Management Practice","","","","","Class B"
"COLLINSVILLE STP, CITY OF","ILL028215","COLLINSVILLE","IL","17000269001","1213.46","Land Application","2426.92","","","","Class B"
"NEWFANE (T)","NYL027774","NEWFANE","NY","36009112001","228","Land Application","263","","","","Class A EQ"
"LEAD-DEADWOOD SANITARY DISTRICT","SDL020796","DEADWOOD","SD","46000032001","132","Other Management Practice, Land Application","109","","","23","Class B"
"ROBESONIA-WERNERSVILLE M/A OF","PAL031062","WERNERSVILLE","PA","42001076001","158.2","Other Management Practice","","","","158.2","Not Applicable"
"MET COUNCIL METROPOLITAN WWTP","MNL029815","ST PAUL","MN","27000001001","76275","Incineration","","","76275","",""
"CITY OF WINSTON-SALEM","NCL037834","WINSTON SALEM","NC","37003401001","3473","Land Application","3473","","","","Class A"
"NEBRASKA CITY WWTF","NEL021245","NEBRASKA CITY","NE","31001695001","767.8","Land Application","767.8","","","","Class B"
"CLARK COUNTY WRD WWTP","NVL021261","LAS VEGAS","NV","32000200820","49000","Other Management Practice","","","","49000","Not Applicable"
"ALBERT LEA","MNL041092","ALBERT LEA","MN","27000003001","328","Land Application","328","","","","Class B"
"CAMPBELLS RUN STP","PAL036293","PITTSBURGH","PA","42005286001","139.013","Other Management Practice","","","","139.013","Class B"
"N LITTLE ROCK WW UTILITY-5 MIL","ARL020320","NORTH LITTLE ROCK","AR","05000003003","3017.68","Land Application","3017.68","","","","Class B"
"CITY OF HAVELOCK","NCL021253","HAVELOCK","NC","37002506001","170.66","Land Application","170.66","","","","Class B"
"PETERSBURG STP","VAL025437","PETERSBURG","VA","51000166001","3446","Land Application","3446","","","","Class B"
"CITY OF KALISPELL","MTL021938","KALISPELL","MT","30000051001","698","Other Management Practice","","","","698","Class B"
"MADISONVILLE STP WEST SIDE","KYL098043","MADISONVILLE","KY","21000116001","639.1","Other Management Practice","","","","639.1","Class B"
"BROAD RUN WATER RECLAMATION","VAL091383","ASHBURN","VA","51001400062","2084","Land Application","2084","","","","Class B"
"MANDAN CITY OF","NDL022861","MANDAN","ND","38000003001","561","Land Application","129","","","","Class B"
"CITY OF BOZEMAN","MTL022608","BOZEMAN","MT","30000048001","988","Other Management Practice","","","","988","Class B"
"FRANKLIN STP","KYL027456","FRANKLIN","KY","21000232001","206.0826","Surface Disposal","","206.0826","","","Class B"
"INDEPENDENCE WASTEWATER PLANT","KSL095486","INDEPENDENCE","KS","20001523001","78","Land Application","78","","","","Class B"
"CITY OF FARMINGTON","MOL028860","FARMINGTON","MO","29003198001","113.91","Land Application","113.91","","","","Class B"
"ARKANSAS, CITY OF","KSL044831","ARKANSAS CITY","KS","20000106001","147.74","Land Application","148","","","","Class A EQ"
"CITY OF BUFFALO","MOL094854","BUFFALO","MO","29002431001","51.05","Land Application","","","","","Class B"
"ROSEVILLE DRY CREEK WWTP","CAL079502","ROSEVILLE","CA","06005227001","1606.25","Land Application","1606","","","","Class B"
"KENT COUNTY STP","DEL020338","FREDERICA","DE","10000011001","12462","Land Application, Other Management Practice","13000","","","1696.4","Class A EQ, Not Applicable"
"ROSEVILLE PLEASANT GROVE WWTP","CAL084573","ROSEVILLE","CA","06005227002","3002.8","Other Management Practice","","","","3002.84","Not Applicable"
"OCEAN ISLE BEACH WWTP","NCL006049","OCEAN ISLE BEACH","NC","37001009001","0","Other Management Practice","","","","","Not Applicable"
"GREAT BARRINGTON W W T F","MAL101524","GREAT BARRINGTON","MA","25000160001","211.96","Other Management Practice","","","","211.96","Not Applicable"
"CITY OF CHILLICOTHE","MOL108227","CHILLICOTHE","MO","29001032001","205.8","Land Application","205.8","","","","Class B"
"HAYWARD WPCF","CAL037869","HAYWARD","CA","06002029001","3500","Other Management Practice","","","","3500","Class A"
"IRVINE RANCH WATER DISTRICT","CAL000326","IRVINE","CA","06008033001","3513.42","Land Application","3513.41","","","","Class B, Class A"
"SAN FRANCISCO SOUTHEAST WWTP","CAL037664","SAN FRANCISCO","CA","06002032003","10705","Other Management Practice, Land Application","6257","","","5421","Class A EQ, Class B"
"SUMTER/POCOTALIGO RIVER PLANT","SCL027707","SUMTER","SC","45000240001","949.8","Other Management Practice","","","","949.8","Class A"
"WEBSTER (T)","NYL021610","WEBSTER","NY","36008044001","775","Surface Disposal","","775","","","Class B"
"THORN CREEK BASIN SD STP","ILL027723","CHICAGO HEIGHTS","IL","17000587001","1349","Land Application","211","","","","Class B"
"WILLIAMSPORT SAN AUTH (CENTRAL","PAL027057","WILLIAMSPORT","PA","42004026002","505","Other Management Practice","","","","505","Not Applicable"
"WILLIAMSPORT SAN AUTHORITY","PAL027049","WILLIAMSPORT","PA","42004026001","309","Other Management Practice","","","","309","Not Applicable"
"HENDERSON STP","KYL020711","HENDERSON","KY","21000024001","2176.313","Other Management Practice","","","","2176.313","Class B"
"HENDERSON SOUTH STP #2","KYL100293","HENDERSON","KY","21000024002","870.97","Other Management Practice","","","","870.97","Class B"
"BARNSTABLE WATER POLLUTION CONTROL FACILITY","MAL026965","BARNSTABLE (HYANNIS)","MA","25000076001","966","Other Management Practice","","","","966","Not Applicable"
"DANVILLE MUN AUTH","PAL023531","DANVILLE","PA","42004031001","316","Land Application","316","","","","Class B"
"CAPE FEAR PUBLIC UTILITY AUTHORITY","NCL023965","WILMINGTON","NC","37006501001","1935","Other Management Practice","","","","1935","Not Applicable"
"PHENIX CITY DEPARTMENT OF PUBLIC UTILITIES","ALL022209","PHENIX CITY","AL","01000196001","478.57","Land Application","478.57","","","","Class B"
"MELBOURNE, CITY OF","FLL041122","MELBOURNE","FL","12000093004","905.58","Land Application","905.58","","","","Class B"
"MONROE CO DIV OF PURE WATERS","NYL028231","ROCHESTER","NY","36008267001","3809.6","Other Management Practice","","","","3809.6","Not Applicable"
"OWATONNA","MNL051284","OWATONNA","MN","27000038001","451.05","Land Application","451.05","","","","Class B"
"ROCHESTER PURE WATERS DIST","NYL028339","ROCHESTER","NY","36008024001","17559.68","Other Management Practice","","","","17559.68","Not Applicable"
"FISHERS CHEENEY CREEK WWTP","INL055484","FISHERS","IN","18000017001","2702","Other Management Practice","","","","2702","Not Applicable"
"TELFORD BORO AUTH WWTP","PAL036978","TELFORD","PA","42000010001","149.89","Surface Disposal","","149.89","","","Class B"
"NORTH LAS VEGAS WRF","NVL023647","LAS VEGAS","NV","32000200409","6802","Other Management Practice","","","","6802","Class A"
"WALTON (V)","NYL027154","WALTON","NY","36004016001","339.5","Other Management Practice","","","","385.7","Not Applicable"
"LAKE CHARLES, CITY OF (PLANT A","LAL036340","LAKE CHARLES","LA","22000715001","195.49","Other Management Practice","","","","195.49","Class B"
"LAKE CHARLES, CITY OF (PLANT C","LAL036366","LAKE CHARLES","LA","22000715003","681.43","Other Management Practice","","","","681.43","Class B"
"TOWN OF SPRINGFIELD","VTL100374","SPRINGFIELD","VT","50000072001","145.72","Land Application","145.72","","","","Class A"
"SAINT CLOUD","MNL040878","ST CLOUD","MN","27000045001","1711.1","Land Application","1711.1","","","","Class A"
"ROCKLAND COUNTY SD#1 STP","NYL031895","ORANGEBURG","NY","36003095001","2962","Land Application","2962","","","","Class A"
"LEOMINSTER W W T P","MAL100617","LEOMINSTER","MA","25000107001","1103.8","Other Management Practice","","","","1103.8","Not Applicable"
"LAKE CHARLES, CITY OF- STP","LAL118770","LAKE CHARLES","LA","22000715005","78.2","Other Management Practice","","","","78.2","Class B"
"RICHMOND WWTP","INL025615","RICHMOND","IN","18002180001","1130.48","Land Application, Other Management Practice","1054.82","","","75.66","Class B"
"OCEAN CO.UA -FMD FERTILIZER MANUFACTURING DIVISION","NJL104299","BAYVILLE","NJ","34003079001","6719","Land Application","6443.95","","","","Class A EQ"
"CITY OF SULLIVAN","MOL104736","SULLIVAN","MO","29001181003","72.69","Land Application","72.69","","","","Class B"
"SOMERSET RARITAN VALLEY SA","NJL024864","BRIDGEWATER","NJ","34002097001","3613.3","Incineration, Other Management Practice","","","3016.8","596.5","Not Applicable"
"LAKE OF THE OZARKS REGION","MOL103241","LAKE OZARK","MO","29004026001","296","Land Application","250","","","","Class B"
"CALIFORNIA MEN'S COLONY WWTP","CAL047856","SAN LUIS OBISPO","CA","06003064001","119.64","Other Management Practice","","","","119.64","Class A EQ"
"CITY OF OSCEOLA","IAL041815","OSCEOLA","IA","19000648001","175.58","Land Application","175.58","","","","Class B"
"LOS ANGELES HYPERION WWTP","CAL109991","PLAYA DEL REY","CA","06004010001","55414.23","Other Management Practice, Land Application","40084.35","","","15329.88","Class A, Class B"
"LINCOLN SANITARY DISTRICT","MEL101796","LINCOLN","ME","23000048001","90.3","Land Application, Other Management Practice","26.38","","","66.31","Class A EQ"
"CITY OF BLUE SPRINGS","MOL028886","BLUE SPRINGS","MO","29001198001","405","Other Management Practice","","","","405","Class B"
"COLBY WASTEWATER PLANT","KSL098698","COLBY","KS","20001405001","115.2","Land Application","115.2","","","","Class B"
"NAPA SOSCOL WRF","CAL037575","NAPA","CA","06002033001","1173","Land Application","1173","","","","Class B"
"CITY OF CRESCO","IAL021334","CRESCO","IA","19001016001","44.8","Land Application","44.8","","","","Class B"
"DERBY, CITY OF","KSL050377","DERBY","KS","20000129002","437.9","Land Application","2486.59","","","","Class B"
"ATLANTA (SOUTH RIVER WRC)","GAL024040","ATLANTA","GA","13000012003","4585","Other Management Practice","","","","4585","Not Applicable"
"ROSELLE-J BOTTERMAN STP","ILL048721","ROSELLE","IL","17000711002","114.23","Land Application","114.23","","","","Class B"
"VENTURA WRF","CAL053651","VENTURA","CA","06004006001","1885.62","Land Application","1885.62","","","","Class A"
"LAFAYETTE CONSOLIDATED GOVERNMENT - SOUTH WWTP","LAL036374","LAFAYETTE","LA","22000700001","714.8","Land Application","714.8","","","","Class B"
"NASHVILLE-CENTRAL STP","TNL020575","NASHVILLE","TN","47001016001","22044","Land Application, Other Management Practice","22044","","","23.8","Class A EQ, Class B"
"HRSD-CHESAPEAKE/ELIZABETH STP","VAL081264","VIRGINIA BEACH","VA","51000308005","0","Other Management Practice","","","","","Not Applicable"
"LOS ALAMOS COUNTY - BAYO WWTP","NML020141","LOS ALAMOS","NM","35000030005","204","Land Application","204","","","","Class A"
"WOODSVILLE W W T F","NHL100978","WOODSVILLE","NH","33000034001","166","Land Application","183","","","","Class A"
"HARDWICK WPC - GILBERTVILLE","MAL100102","GILBERTVILLE","MA","25000216002","18","Other Management Practice","","","","18","Not Applicable"
"HARDWICK W P C - WHEELWRIGHT","MAL102431","WHEELWRIGHT","MA","25000216001","8","Other Management Practice","","","","8","Not Applicable"
"TOWN OF SURF CITY","NCL000795","SURF CITY","NC","37007105001","149.32","Land Application","149.32","","","","Class B"
"ADDISON SOUTH-A.J. LAROCCA STP","ILL027367","ADDISON","IL","17000161001","224.656","Land Application","224.656","","","","Class B"
"MARION WWTP, CITY OF","INL025585","MARION","IN","18002140001","660","Land Application","660","","","","Class B"
"HOPE, CITY OF-BOIS D'ARC WWTP","ARL038466","HOPE","AR","05000282003","8.5","Other Management Practice","","","","8.5","Not Applicable"
"CITY OF SPRINGFIELD","MOL049522","SPRINGFIELD","MO","29001026001","5745","Land Application, Other Management Practice","5278","","","719","Class B"
"CITY OF SPRINGFIELD","MOL103039","SPRINGFIELD","MO","29001026002","1138","Other Management Practice","","","","1138","Not Applicable"
"RUSSELLVILLE STP","KYL020877","RUSSELLVILLE","KY","21000330001","428.7718","Other Management Practice","","","","428.7718","Not Applicable"
"NAPERVILLE-SPRINGBROOK WRC","ILL034061","NAPERVILLE","IL","17000484001","1800.8","Land Application","1378.2","","","","Class B"
"CITY OF LAFAYETTE","GAL025712","LAFAYETTE","GA","13000050001","46.95","Land Application","46.95","","","","Class B"
"MONTEZUMA COUNTY","COL901284","CORTEZ","CO","08000500034","0","Other Management Practice","","","","135.94","Not Applicable"
"MERIDEN WPCF","CTL100315","MERIDEN","CT","09000800001","1525.76","Other Management Practice","","","","1525.76","Not Applicable"
"WINOOSKI SEWAGE TREATMENT PLANT","VTL100510","WINOOSKI","VT","50000089001","142","Land Application","142","","","","Class A"
